body,title,url
No sabía si iba a sobrevivir . dijo la cantante Pink al revelar los momentos más difíciles de contagiarse de coronavirus. al igual que su hijo de tres años de edad.  En una entrevista a distancia con Ellen DeGeneres. la intérprete de  So What   aseguró qu,TITL DEMO,https://www.viveusa.mx/showbiz/pink-revela-sus-momentos-mas-dificiles-al-contagiarse-de-coronavirus
 El presidente Andrés Manuel López Obrador informó que. luego de la intervención del presidente de Estados Unidos. Donald Trump. México acordó con la OPEP reducir en 100 mil barriles diarios su producción de petróleo con el objeto de ayudar mejorar el pre,México acuerda con OPEP reducir en 100 mil barriles diarios su producción petrolera,https://www.eluniversal.com.mx/nacion/amlo-mexico-acuerda-con-opep-reducir-en-100-mil-barriles-de-petroleo
 La Secretaría de Salud confirmó tres nuevos fallecimientos por Coronavirus (Covid-19) en Sonora. en personas con edades que oscilan entre los 66 a los 88 años. residentes de los municipios de Huatabampo. Cajeme y Hermosillo. así como siete nuevos casos d,Fallecen tres personas más por coronavirus en Sonora; suman 8,https://www.eluniversal.com.mx/estados/fallecen-tres-personas-mas-por-coronavirus-en-sonora-suman-8
 Como había anunciado ayer. Andrés Manuel López Obrador informó que ya envió a Carlos Salazar Lomelín. presidente del Consejo Coordinador Empresarial (CCE). la carta con la lista de las 15 empresas que deben a la hacienda pública 50 mil millones de pesos.,AMLO dice que envió listado al CCE de los 15 grandes deudores de la hacienda pública,https://www.eluniversal.com.mx/nacion/la-mananera-amlo-envio-listado-al-cce-de-los-15-deudores-de-la-hacienda-publica
 Ana Claudia Talancón anda activa promoviendo a su papá. un chef en Cancún. ahora que la contingencia sanitaria pide no hacer grandes concentraciones de personas. Ella misma señala tener buen sazón gracias a su padre. quien desde pequeña le enseñó a cocin,Ana Claudia Talancón promueve el sazón de su papá ,https://www.eluniversal.com.mx/espectaculos/farandula/ana-claudia-talancon-promueve-el-sazon-de-su-papa
 Luego de más de diez horas de una teleconferencia de los ministros de energía de países productores de petróleo. México. que había sido el único país que no aceptó el recorte de producción acordado por la Organización de Países Exportadores de Petróleo (,México propone recortar 100 mil barriles diarios; OPEP pedía 400 mil,https://www.eluniversal.com.mx/cartera/mexico-unico-pais-que-no-acepta-reduccion-de-opep-en-produccion-de-petroleo
 La noche de este jueves se lleva a cabo en Huajuapan de León. ciudad de la región Mixteca de Oaxaca. la audiencia de vinculación a proceso de Juan Antonio Vera Carrizal. exdiputado priista acusado de ser el autor intelectual del ataque con ácido contra l,"Ante audiencia de su agresor, joven saxofonista pide  privilegiar la justicia ",https://www.eluniversal.com.mx/estados/ante-audiencia-de-su-agresor-joven-saxofonista-pide-privilegiar-la-justicia
Javier citó a Mauricio sobre el Paseo de los Compositores en la Primera Sección del Bosque de Chapultepec. para pagarle 5 mil pesos. pero fueron sorprendidos por sujetos en motocicleta. quienes mataron al primero. en la alcaldía de Miguel Hidalgo de la Ci,Titulo Vacio,https://www.elgrafico.mx/la-roja/hombre-se-pone-nervioso-en-supuesto-asalto-y-lo-matan-de-balazo-en-el-pecho-en-cdmx
 Autoridades de Protección Civil del municipio de Soledad continúan vigilando balnearios y lugares recreativos que se encuentran dentro de la demarcación. con el fin de asegurar que se mantengan sin servicio y cumplir con las disposiciones preventivas est,Protección Civil en Soledad vigila que balnearios permanezcan cerrados ante contingencia sanitaria,https://sanluis.eluniversal.com.mx/municipios/07-04-2020/proteccion-civil-en-soledad-vigila-que-balnearios-permanezcan-cerrados-ante
 Aún con la contingencia. el barrio de Santa Ana amaneció adornado como tradicionalmente se hace para recibir la Semana Santa. En Viernes de Dolores algunos balcones lucen el tradicional moño morado. En el interior de la iglesia de Santa Ana. que se encue,Mantienen la fe en la Virgen de los Dolores,https://www.eluniversalqueretaro.mx/portada/mantienen-la-fe-en-la-virgen-de-los-dolores
